movieId,count,rating
1,73,0.5
1,267,1.0
1,96,1.5
1,716,2.0
1,408,2.5
1,4565,3.0
1,1573,3.5
1,8445,4.0
1,1353,4.5
1,6294,5.0
2,89,0.5
2,359,1.0
2,187,1.5
2,1151,2.0
2,623,2.5
2,3971,3.0
2,822,3.5
2,2602,4.0
2,131,4.5
2,844,5.0
3,59,0.5
3,371,1.0
3,100,1.5
3,788,2.0
3,285,2.5
3,2935,3.0
3,289,3.5
3,1517,4.0
3,53,4.5
3,631,5.0
4,11,0.5
4,199,1.0
4,9,1.5
4,281,2.0
4,35,2.5
4,617,3.0
4,21,3.5
4,293,4.0
4,4,4.5
4,107,5.0
5,58,0.5
5,352,1.0
5,90,1.5
5,774,2.0
5,189,2.5
5,3016,3.0
5,204,3.5
5,1229,4.0
5,30,4.5
5,458,5.0
6,10,0.5
6,145,1.0
6,27,1.5
6,481,2.0
6,144,2.5
6,3274,3.0
6,589,3.5
6,4331,4.0
6,683,4.5
6,2662,5.0
7,51,0.5
7,226,1.0
7,64,1.5
7,568,2.0
7,191,2.5
7,2944,3.0
7,287,3.5
7,2018,4.0
7,79,4.5
7,831,5.0
8,4,0.5
8,45,1.0
8,7,1.5
8,105,2.0
8,20,2.5
8,364,3.0
8,21,3.5
8,182,4.0
8,5,4.5
8,68,5.0
9,11,0.5
9,177,1.0
9,22,1.5
9,298,2.0
9,54,2.5
9,1102,3.0
9,27,3.5
9,451,4.0
9,4,4.5
9,132,5.0
10,46,0.5
10,322,1.0
10,72,1.5
10,967,2.0
10,373,2.5
10,5981,3.0
10,1015,3.5
10,4703,4.0
10,278,4.5
10,1430,5.0
11,24,0.5
11,160,1.0
11,35,1.5
11,480,2.0
11,182,2.5
11,3053,3.0
11,496,3.5
11,3776,4.0
11,200,4.5
11,1764,5.0
12,30,0.5
12,371,1.0
12,44,1.5
12,452,2.0
12,67,2.5
12,692,3.0
12,55,3.5
12,219,4.0
12,9,4.5
12,107,5.0
13,4,0.5
13,34,1.0
13,4,1.5
13,80,2.0
13,28,2.5
13,286,3.0
13,20,3.5
13,164,4.0
13,6,4.5
13,61,5.0
14,6,0.5
14,127,1.0
14,7,1.5
14,243,2.0
14,30,2.5
14,1277,3.0
14,83,3.5
14,1110,4.0
14,24,4.5
14,410,5.0
15,22,0.5
15,232,1.0
15,35,1.5
15,292,2.0
15,52,2.5
15,631,3.0
15,56,3.5
15,261,4.0
15,12,4.5
15,61,5.0
16,19,0.5
16,113,1.0
16,26,1.5
16,366,2.0
16,182,2.5
16,2099,3.0
16,639,3.5
16,3197,4.0
16,623,4.5
16,1418,5.0
17,20,0.5
17,231,1.0
17,18,1.5
17,355,2.0
17,82,2.5
17,2197,3.0
17,350,3.5
17,4002,4.0
17,328,4.5
17,3668,5.0
18,4,0.5
18,165,1.0
18,16,1.5
18,256,2.0
18,70,2.5
18,844,3.0
18,155,3.5
18,686,4.0
18,93,4.5
18,302,5.0
19,390,0.5
19,1668,1.0
19,384,1.5
19,1807,2.0
19,575,2.5
19,3248,3.0
19,610,3.5
19,1148,4.0
19,127,4.5
19,473,5.0
20,15,0.5
20,162,1.0
20,45,1.5
20,366,2.0
20,114,2.5
20,983,3.0
20,80,3.5
20,360,4.0
20,6,4.5
20,81,5.0
21,35,0.5
21,268,1.0
21,52,1.5
21,800,2.0
21,220,2.5
21,4232,3.0
21,589,3.5
21,4930,4.0
21,251,4.5
21,1994,5.0
22,46,0.5
22,127,1.0
22,61,1.5
22,456,2.0
22,234,2.5
22,2108,3.0
22,335,3.5
22,1630,4.0
22,65,4.5
22,524,5.0
23,4,0.5
23,125,1.0
23,27,1.5
23,248,2.0
23,88,2.5
23,954,3.0
23,109,3.5
23,569,4.0
23,21,4.5
23,161,5.0
24,35,0.5
24,220,1.0
24,54,1.5
24,488,2.0
24,136,2.5
24,1466,3.0
24,201,3.5
24,1120,4.0
24,48,4.5
24,422,5.0
25,35,0.5
25,501,1.0
25,30,1.5
25,784,2.0
25,112,2.5
25,2920,3.0
25,443,3.5
25,4028,4.0
25,371,4.5
25,2627,5.0
26,39,1.0
26,1,1.5
26,68,2.0
26,14,2.5
26,488,3.0
26,65,3.5
26,569,4.0
26,35,4.5
26,273,5.0
27,4,0.5
27,27,1.0
27,4,1.5
27,79,2.0
27,22,2.5
27,349,3.0
27,42,3.5
27,222,4.0
27,13,4.5
27,117,5.0
28,19,1.0
28,1,1.5
28,56,2.0
28,5,2.5
28,270,3.0
28,41,3.5
28,627,4.0
28,52,4.5
28,583,5.0
29,10,0.5
29,91,1.0
29,20,1.5
29,177,2.0
29,53,2.5
29,582,3.0
29,226,3.5
29,1243,4.0
29,382,4.5
29,1164,5.0
30,1,0.5
30,29,1.0
30,1,1.5
30,36,2.0
30,5,2.5
30,235,3.0
30,21,3.5
30,283,4.0
30,10,4.5
30,151,5.0
31,16,0.5
31,135,1.0
31,59,1.5
31,416,2.0
31,179,2.5
31,1894,3.0
31,301,3.5
31,1116,4.0
31,62,4.5
31,404,5.0
32,38,0.5
32,287,1.0
32,50,1.5
32,824,2.0
32,198,2.5
32,4794,3.0
32,1230,3.5
32,7935,4.0
32,1608,4.5
32,4927,5.0
33,1,0.5
33,2,1.0
33,9,2.0
33,15,3.0
33,3,3.5
33,9,4.0
33,4,5.0
34,147,0.5
